,Направление,Количество
0,09.03.01 Информатика и вычислительная техника,13
1,14.03.02 Ядерные физика и технологии,8
2,02.03.03 Математическое обеспечение и администрирование информационных систем,32
3,"01.00.00 Математика, механика и математическое моделирование",57
4,37.03.01 Психология,122
5,54.03.01 Дизайн,125
6,09.03.01 BIM-технологии в архитектуре и градостроительстве,63
7,11.03.04 Электроника и наноэлектроника,10
8,09.03.01 Программирование и системная интеграция ИТ-решений,97
9,42.03.01 Реклама и связи с общественностью,84
10,01.03.02 Прикладная математика и информатика,165
11,09.03.04 Программная инженерия,37
12,42.03.02 Журналистика,187
13,09.03.03 Прикладная информатика,40
14,07.03.01 Архитектура,201
15,38.03.03 Управление персоналом,13
16,04.03.01 Химия,104
17,45.03.01 Зарубежная филология,91
18,05.03.04 Гидрометеорология,12
19,40.03.01 Юриспруденция,311
20,38.03.01 Экономика,210
21,38.03.02 Менеджмент,57
22,44.03.01 Начальное образование,64
23,41.03.05 Международные отношения,39
24,06.03.01 Биология,48
25,44.03.01 Физическая культура,79
26,44.03.05 Математика и информатика,5
27,05.03.02 География,17
28,02.03.02 Фундаментальная информатика и информационные технологии,93
29,09.03.02 Информационные системы и технологии,31
30,44.03.03 Специальное (дефектологическое) образование,36
31,37.03.02 Конфликтология,86
32,38.03.04 Государственное и муниципальное управление,51
33,41.03.01 Зарубежное регионоведение,57
34,44.03.01 Математика,48
35,49.00.00 Физическая культура и спорт,28
36,44.03.05 Биология и химия,10
37,45.03.02 Лингвистика,32
38,19.03.01 Биотехнология,12
39,09.03.01 Информационные технологии и бизнес-аналитика,60
40,05.03.01 Геология,39
41,40.05.01 Правовое обеспечение национальной безопасности,11
42,43.03.03 Гостиничное дело,27
43,44.03.05 Иностранный язык (английский/немецкий/французский) и иностранный язык (английский/немецкий/французский),60
44,43.03.02 Туризм,15
45,44.03.05 География и экономика,27
46,44.03.05 Начальное образование и иностранный язык,3
47,44.03.05 История и обществознание,25
48,21.03.02 Землеустройство и кадастры,6
49,09.03.01 Технологии искусственного интеллекта,25
50,37.05.02 Психология служебной деятельности,5
51,45.05.01 Перевод и переводоведение,20
52,44.03.01 Дошкольное образование,30
53,44.03.05 Технология и изобразительное искусство,37
54,11.03.02 Инфокоммуникационные технологии и системы связи,67
55,44.03.02 Психолого-педагогическое образование,63
56,10.05.02 Информационная безопасность телекоммуникационных систем,13
57,25.03.01 Техническая эксплуатация летательных аппаратов и двигателей,11
58,46.03.01 История,22
59,44.03.05 Русский язык и литература,58
60,44.03.04 Профессиональное обучение (по отраслям),14
61,39.03.03 Организация работы с молодежью,24
62,39.03.01 Социология,42
63,10.05.03 Информационная безопасность автоматизированных систем,8
64,03.00.00 Физика и радиофизика,22
65,13.03.02 Электроэнергетика и электротехника,13
66,11.03.01 Радиотехника,28
67,21.05.02 Прикладная геология,4
68,41.03.04 Политология,45
69,24.05.07 Самолето- и вертолетостроение,10
70,11.05.01 Радиоэлектронные системы и комплексы,19
71,12.03.01 Приборостроение,23
72,44.03.05 Изобразительное искусство и компьютерная графика,49
73,37.05.01 Клиническая психология,23
74,39.03.02 Социальная работа,57
75,18.03.01 Химическая технология,13
76,38.03.05 Бизнес-информатика,11
77,28.03.01 Нанотехнологии и микросистемная техника,6
78,15.03.06 Мехатроника и робототехника,7
79,38.03.02 Менеджмент в инновационном предпринимательстве,28
80,09.05.01 Применение и эксплуатация автоматизированных систем специального назначения,13
81,10.05.05 Безопасность информационных технологий в правоохранительной сфере,5
82,54.05.02 Живопись,10
83,44.03.05 Дошкольное образование и иностранный язык (английский),23
84,43.03.01 Сервис,14
85,54.05.01 Монументально-декоративное искусство,5
86,10.03.01 Информационная безопасность,28
87,16.03.01 Техническая физика,3
88,44.03.05 История и иностранный язык (английский),11
89,50.03.01 Искусства и гуманитарные науки,4
90,05.03.06 Экология и природопользование,8
91,15.03.04 Автоматизация технологических процессов и производств,9
92,54.05.03 Графика,3
93,44.03.05 Физическая культура и иностранный язык (английский),5
94,04.05.01 Фундаментальная и прикладная химия,10
95,17.03.01 Корабельное вооружение,9
96,44.03.05 Математика и физика,3
97,12.03.04 Биотехнические системы и технологии,13
98,54.03.02 Декоративно-прикладное искусство и народные промыслы,2
99,29.03.04 Технология художественной обработки материалов,2
100,11.03.03 Конструирование и технология электронных средств,6
101,11.05.02 Специальные радиотехнические системы,3
102,26.05.04 Применение и эксплуатация технических систем надводных кораблей и подводных лодок,2
103,51.03.01 Культурология,6
104,27.03.05 Инноватика,4
105,49.03.02 Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),2
106,11.05.04 Инфокоммуникационные технологии и системы специальной связи,3
107,45.03.04 Цифровая лингвистика,6
108,27.03.03 Системный анализ и управление,7
109,47.03.01 Философия,3
110,44.03.05 Русский язык и литература для иностранных обучающихся,1
111,45.03.01 Отечественная филология,6
112,20.03.01 Техносферная безопасность,3
113,06.03.02 Почвоведение,3
114,24.03.04 Авиастроение,1
115,27.03.04 Управление в технических системах,2
116,38.00.00 Цифровая экономика,1
117,44.05.01 Педагогика и психология девиантного поведения,1
118,28.03.02 Наноинженерия,1
119,38.03.06 Торговое дело,1
